Ethnicity_Group,Occupation,Population_Estimate,Percentage_within_Ethnicity,Percentage_within_Occupation
Other ethnic group: Arab,1137 Information technology directors,440.0,0.4,0.4
Other ethnic group: Arab,2131 IT project managers,115.0,0.1,0.3
Other ethnic group: Arab,2132 IT managers,510.0,0.5,0.3
Other ethnic group: Arab,"2133 IT business analysts, architects and systems designers",435.0,0.4,0.4
Other ethnic group: Arab,2134 Programmers and software development professionals,1465.0,1.5,0.6
Other ethnic group: Arab,2135 Cyber security professionals,95.0,0.1,0.5
Other ethnic group: Arab,2136 IT quality and testing professionals,40.0,0,0.2
Other ethnic group: Arab,2137 IT network professionals,110.0,0.1,0.6
Other ethnic group: Arab,2139 Information technology professionals n.e.c.,400.0,0.4,0.5
Other ethnic group: Any other ethnic group,1137 Information technology directors,1520.0,0.4,1.4
Other ethnic group: Any other ethnic group,2131 IT project managers,505.0,0.1,1.4
Other ethnic group: Any other ethnic group,2132 IT managers,1710.0,0.4,1.2
Other ethnic group: Any other ethnic group,"2133 IT business analysts, architects and systems designers",1535.0,0.4,1.4
Other ethnic group: Any other ethnic group,2134 Programmers and software development professionals,4355.0,1.1,1.6
Other ethnic group: Any other ethnic group,2135 Cyber security professionals,295.0,0.1,1.4
Other ethnic group: Any other ethnic group,2136 IT quality and testing professionals,230.0,0.1,1.3
Other ethnic group: Any other ethnic group,2137 IT network professionals,270.0,0.1,1.6
Other ethnic group: Any other ethnic group,2139 Information technology professionals n.e.c.,1380.0,0.3,1.7
White: English/Welsh/Scottish/Northern Irish/British,1137 Information technology directors,81365.0,0.4,72.4
White: English/Welsh/Scottish/Northern Irish/British,2131 IT project managers,24125.0,0.1,68.3
White: English/Welsh/Scottish/Northern Irish/British,2132 IT managers,108570.0,0.5,74.2
White: English/Welsh/Scottish/Northern Irish/British,"2133 IT business analysts, architects and systems designers",70530.0,0.3,64.4
White: English/Welsh/Scottish/Northern Irish/British,2134 Programmers and software development professionals,159985.0,0.8,60.6
White: English/Welsh/Scottish/Northern Irish/British,2135 Cyber security professionals,14650.0,0.1,69.4
White: English/Welsh/Scottish/Northern Irish/British,2136 IT quality and testing professionals,9370.0,0,53.5
White: English/Welsh/Scottish/Northern Irish/British,2137 IT network professionals,11080.0,0.1,66.4
White: English/Welsh/Scottish/Northern Irish/British,2139 Information technology professionals n.e.c.,47595.0,0.2,59.5
White: Gypsy or Irish Traveller,1137 Information technology directors,10.0,0.1,0
White: Gypsy or Irish Traveller,2131 IT project managers,10.0,0.1,0
White: Gypsy or Irish Traveller,2132 IT managers,20.0,0.1,0
White: Gypsy or Irish Traveller,"2133 IT business analysts, architects and systems designers",10.0,0.1,0
White: Gypsy or Irish Traveller,2134 Programmers and software development professionals,40.0,0.2,0
White: Gypsy or Irish Traveller,2135 Cyber security professionals,,[c],[c]
White: Gypsy or Irish Traveller,2136 IT quality and testing professionals,,[c],[c]
White: Gypsy or Irish Traveller,2137 IT network professionals,,[c],[c]
White: Gypsy or Irish Traveller,2139 Information technology professionals n.e.c.,15.0,0.1,0
White: Irish,1137 Information technology directors,1550.0,0.6,1.4
White: Irish,2131 IT project managers,415.0,0.2,1.2
White: Irish,2132 IT managers,1710.0,0.7,1.2
White: Irish,"2133 IT business analysts, architects and systems designers",1140.0,0.4,1
White: Irish,2134 Programmers and software development professionals,2570.0,1,1
White: Irish,2135 Cyber security professionals,225.0,0.1,1.1
White: Irish,2136 IT quality and testing professionals,120.0,0,0.7
White: Irish,2137 IT network professionals,135.0,0.1,0.8
White: Irish,2139 Information technology professionals n.e.c.,935.0,0.4,1.2
White: Roma,1137 Information technology directors,85.0,0.1,0.1
White: Roma,2131 IT project managers,25.0,0,0.1
White: Roma,2132 IT managers,110.0,0.2,0.1
White: Roma,"2133 IT business analysts, architects and systems designers",110.0,0.2,0.1
White: Roma,2134 Programmers and software development professionals,625.0,1.1,0.2
White: Roma,2135 Cyber security professionals,25.0,0,0.1
White: Roma,2136 IT quality and testing professionals,10.0,0,0.1
White: Roma,2137 IT network professionals,15.0,0,0.1
White: Roma,2139 Information technology professionals n.e.c.,105.0,0.2,0.1
White: Other White,1137 Information technology directors,9625.0,0.4,8.6
White: Other White,2131 IT project managers,2875.0,0.1,8.1
White: Other White,2132 IT managers,10900.0,0.5,7.4
White: Other White,"2133 IT business analysts, architects and systems designers",8770.0,0.4,8
White: Other White,2134 Programmers and software development professionals,36110.0,1.6,13.7
White: Other White,2135 Cyber security professionals,1715.0,0.1,8.1
White: Other White,2136 IT quality and testing professionals,1115.0,0,6.4
White: Other White,2137 IT network professionals,1245.0,0.1,7.5
White: Other White,2139 Information technology professionals n.e.c.,6615.0,0.3,8.3
